지점,지점명,일시,10CM 일 토양수분(%),20CM 일 토양수분(%),30CM 일 토양수분(%),평균 기온(°C),평균 지면온도(°C),일 순복사(MJ/m2),위도,경도,평균 습도(%),평균 풍속(m/s),토양수분(%)
974,대곡,2019-01-01,12.0,16.0,16.0,0.4,-2.2,12.24,35.24435,128.15605,43.666666666666664,3.2,14.666666666666666
974,대곡,2019-01-02,13.0,16.0,16.0,0.0,-3.0,12.82,35.24435,128.15605,43.666666666666664,1.85,15.0
974,대곡,2019-01-03,13.0,16.0,16.0,-0.5,-2.6,12.98,35.24435,128.15605,43.333333333333336,1.35,15.0
974,대곡,2019-01-04,12.0,16.0,16.0,-0.3,-3.2,7.09,35.24435,128.15605,46.666666666666664,0.55,14.666666666666666
974,대곡,2019-01-05,13.0,16.0,16.0,2.7,0.0,10.01,35.24435,128.15605,48.333333333333336,1.65,15.0
974,대곡,2019-01-06,14.0,16.0,16.0,0.0,-1.8,12.17,35.24435,128.15605,42.0,0.9,15.333333333333334
974,대곡,2019-01-07,14.0,16.0,16.0,0.2,-1.2,11.62,35.24435,128.15605,48.0,1.0,15.333333333333334
974,대곡,2019-01-08,14.0,16.0,16.0,1.6,0.0,12.02,35.24435,128.15605,40.333333333333336,2.7,15.333333333333334
974,대곡,2019-01-09,14.0,16.0,16.0,-0.7,-0.3,9.27,35.24435,128.15605,40.0,1.05,15.333333333333334
974,대곡,2019-01-10,14.0,16.0,16.0,2.4,1.9,10.57,35.24435,128.15605,49.0,1.6,15.333333333333334
974,대곡,2019-01-11,14.0,16.0,15.0,2.5,1.9,10.6,35.24435,128.15605,59.666666666666664,0.8,15.0
974,대곡,2019-01-12,16.0,16.0,15.0,3.6,4.1,6.3,35.24435,128.15605,81.0,0.9500000000000001,15.666666666666666
974,대곡,2019-01-13,16.0,17.0,16.0,1.7,2.5,10.39,35.24435,128.15605,74.33333333333333,0.8,16.333333333333332
974,대곡,2019-01-14,16.0,17.0,16.0,0.8,0.8,10.22,35.24435,128.15605,67.66666666666667,0.45,16.333333333333332
974,대곡,2019-01-15,15.0,17.0,16.0,2.4,1.2,11.11,35.24435,128.15605,53.333333333333336,2.55,16.0
974,대곡,2019-01-16,15.0,17.0,16.0,-0.5,0.3,14.38,35.24435,128.15605,32.0,2.9000000000000004,16.0
974,대곡,2019-01-17,14.0,17.0,16.0,0.0,0.2,13.36,35.24435,128.15605,55.333333333333336,2.3,15.666666666666666
974,대곡,2019-01-18,14.0,17.0,16.0,0.7,1.0,13.63,35.24435,128.15605,54.666666666666664,0.6499999999999999,15.666666666666666
974,대곡,2019-01-19,14.0,16.0,16.0,3.9,1.6,8.41,35.24435,128.15605,64.0,0.45,15.333333333333334
974,대곡,2019-01-20,15.0,16.0,16.0,3.8,3.3,12.9,35.24435,128.15605,47.333333333333336,3.2,15.666666666666666
